match_id,home_goals,away_goals,winner_team_id
G_A_1,2,1,
G_A_2,0,1,
G_A_3,2,0,
G_A_4,1,1,
G_A_5,0,0,
G_A_6,0,1,
G_B_1,2,1,
G_B_2,1,1,
G_B_3,1,2,
G_B_4,2,1,
G_B_5,0,3,
G_B_6,0,0,
G_C_1,1,0,
G_C_2,2,0,
G_C_3,0,2,
G_C_4,0,0,
G_C_5,0,1,
G_C_6,0,1,
G_D_1,0,1,
G_D_2,1,0,
G_D_3,2,2,
G_D_4,3,0,
G_D_5,0,2,
G_D_6,2,1,
G_E_1,1,1,
G_E_2,0,2,
G_E_3,1,0,
G_E_4,3,0,
G_E_5,0,1,
G_E_6,0,1,
G_F_1,0,2,
G_F_2,1,1,
G_F_3,1,1,
G_F_4,0,0,
G_F_5,3,3,
G_F_6,2,1,
M1,1,1,POL
M2,1,0,
M3,0,1,
M4,2,1,
M5,3,0,
M6,0,4,
M7,2,0,
M8,1,2,
M9,1,1,POR
M10,3,1,
M11,1,1,GER
M12,5,2,
M13,2,0,
M14,2,0,
M15,0,1,
