match_id,stage,group,home_ref,away_ref,kickoff_utc,venue_country
G_A_1,GROUP,A,TUR,ITA,2021-06-11T19:00:00Z,
G_A_2,GROUP,A,WAL,SUI,2021-06-12T13:00:00Z,
G_A_3,GROUP,A,TUR,WAL,2021-06-16T16:00:00Z,
G_A_4,GROUP,A,ITA,SUI,2021-06-16T19:00:00Z,
G_A_5,GROUP,A,SUI,TUR,2021-06-20T16:00:00Z,
G_A_6,GROUP,A,ITA,WAL,2021-06-20T16:00:00Z,
G_B_1,GROUP,B,DEN,FIN,2021-06-12T16:00:00Z,
G_B_2,GROUP,B,BEL,RUS,2021-06-12T19:00:00Z,
G_B_3,GROUP,B,FIN,RUS,2021-06-16T13:00:00Z,
G_B_4,GROUP,B,DEN,BEL,2021-06-17T16:00:00Z,
G_B_5,GROUP,B,RUS,DEN,2021-06-21T19:00:00Z,
G_B_6,GROUP,B,FIN,BEL,2021-06-21T19:00:00Z,
G_C_1,GROUP,C,AUT,MKD,2021-06-13T16:00:00Z,
G_C_2,GROUP,C,NED,UKR,2021-06-13T19:00:00Z,
G_C_3,GROUP,C,UKR,MKD,2021-06-17T13:00:00Z,
G_C_4,GROUP,C,NED,AUT,2021-06-17T19:00:00Z,
G_C_5,GROUP,C,MKD,NED,2021-06-21T16:00:00Z,
G_C_6,GROUP,C,UKR,AUT,2021-06-21T16:00:00Z,
G_D_1,GROUP,D,ENG,CRO,2021-06-13T13:00:00Z,
G_D_2,GROUP,D,SCO,CZE,2021-06-14T13:00:00Z,
G_D_3,GROUP,D,CRO,CZE,2021-06-18T16:00:00Z,
G_D_4,GROUP,D,ENG,SCO,2021-06-18T19:00:00Z,
G_D_5,GROUP,D,CRO,SCO,2021-06-22T19:00:00Z,
G_D_6,GROUP,D,CZE,ENG,2021-06-22T19:00:00Z,
G_E_1,GROUP,E,POL,SVK,2021-06-14T16:00:00Z,
G_E_2,GROUP,E,ESP,SWE,2021-06-14T19:00:00Z,
G_E_3,GROUP,E,SWE,SVK,2021-06-18T13:00:00Z,
G_E_4,GROUP,E,ESP,POL,2021-06-19T19:00:00Z,
G_E_5,GROUP,E,SVK,ESP,2021-06-23T16:00:00Z,
G_E_6,GROUP,E,SWE,POL,2021-06-23T16:00:00Z,
G_F_1,GROUP,F,HUN,POR,2021-06-15T16:00:00Z,
G_F_2,GROUP,F,FRA,GER,2021-06-15T19:00:00Z,
G_F_3,GROUP,F,HUN,FRA,2021-06-19T13:00:00Z,
G_F_4,GROUP,F,POR,GER,2021-06-19T16:00:00Z,
G_F_5,GROUP,F,POR,FRA,2021-06-23T19:00:00Z,
G_F_6,GROUP,F,GER,HUN,2021-06-23T19:00:00Z,
M1,R16,,WAL,DEN,2021-06-26T16:00:00Z,
M2,R16,,ITA,AUT,2021-06-26T19:00:00Z,
M3,R16,,NED,CZE,2021-06-27T16:00:00Z,
M4,R16,,BEL,POR,2021-06-27T19:00:00Z,
M5,R16,,CRO,ESP,2021-06-28T16:00:00Z,
M6,R16,,FRA,SUI,2021-06-28T19:00:00Z,
M7,R16,,ENG,GER,2021-06-29T16:00:00Z,
M8,R16,,SWE,UKR,2021-06-29T19:00:00Z,
M9,QF,,SUI,ESP,2021-07-02T16:00:00Z,
M10,QF,,BEL,ITA,2021-07-02T19:00:00Z,
M11,QF,,CZE,DEN,2021-07-03T16:00:00Z,
M12,QF,,UKR,ENG,2021-07-03T19:00:00Z,
M13,SF,,ITA,ESP,2021-07-06T19:00:00Z,
M14,SF,,ENG,DEN,2021-07-07T19:00:00Z,
M15,FINAL,,ITA,ENG,2021-07-11T19:00:00Z,
