match_id,odds_home,odds_draw,odds_away
G_A_1,8.50,4.50,1.40
G_A_2,4.75,3.20,1.91
G_A_3,2.80,3.10,2.75
G_A_4,1.57,3.75,6.50
G_A_5,1.57,4.50,5.00
G_A_6,1.45,4.00,8.50
G_B_1,1.33,4.75,12.00
G_B_2,2.05,3.30,3.80
G_B_3,6.50,3.90,1.57
G_B_4,4.33,3.30,1.95
G_B_5,5.50,4.20,1.57
G_B_6,9.00,4.75,1.36
G_C_1,1.72,3.50,5.25
G_C_2,1.50,4.33,6.50
G_C_3,1.80,3.60,4.75
G_C_4,1.60,3.80,6.00
G_C_5,13.00,6.50,1.22
G_C_6,3.90,2.10,3.10
G_D_1,1.53,4.00,7.00
G_D_2,2.80,2.90,2.90
G_D_3,2.20,3.25,3.50
G_D_4,1.30,5.25,11.00
G_D_5,2.45,3.80,2.60
G_D_6,7.50,4.33,1.45
G_E_1,1.70,3.50,5.75
G_E_2,1.33,5.00,10.00
G_E_3,1.91,3.20,4.75
G_E_4,1.29,5.75,11.00
G_E_5,17.00,6.50,1.18
G_E_6,3.00,3.40,2.40
G_F_1,8.50,4.50,1.40
G_F_2,2.88,3.30,2.50
G_F_3,13.00,5.50,1.25
G_F_4,3.30,3.40,2.20
G_F_5,4.20,3.30,1.95
G_F_6,1.11,9.50,19.00
M1,4.50,3.10,1.95
M2,1.55,3.75,7.00
M3,1.57,4.00,6.00
M4,2.40,3.30,3.00
M5,6.50,3.90,1.57
M6,1.60,3.80,6.00
M7,2.38,3.30,3.10
M8,2.30,3.20,3.30
M9,5.75,3.90,1.61
M10,3.40,3.20,2.25
M11,4.00,3.00,2.15
M12,7.50,4.00,1.50
M13,2.50,3.10,3.10
M14,1.72,3.50,5.50
M15,3.40,2.90,2.45
