match_id,date,winner_team_id
G_A_1,2021-06-11,
G_A_2,2021-06-12,
G_A_3,2021-06-16,
G_A_4,2021-06-16,
G_A_5,2021-06-20,
G_A_6,2021-06-20,
G_B_1,2021-06-12,
G_B_2,2021-06-12,
G_B_3,2021-06-16,
G_B_4,2021-06-17,
G_B_5,2021-06-21,
G_B_6,2021-06-21,
G_C_1,2021-06-13,
G_C_2,2021-06-13,
G_C_3,2021-06-17,
G_C_4,2021-06-17,
G_C_5,2021-06-21,
G_C_6,2021-06-21,
G_D_1,2021-06-13,
G_D_2,2021-06-14,
G_D_3,2021-06-18,
G_D_4,2021-06-18,
G_D_5,2021-06-22,
G_D_6,2021-06-22,
G_E_1,2021-06-14,
G_E_2,2021-06-14,
G_E_3,2021-06-18,
G_E_4,2021-06-19,
G_E_5,2021-06-23,
G_E_6,2021-06-23,
G_F_1,2021-06-15,
G_F_2,2021-06-15,
G_F_3,2021-06-19,
G_F_4,2021-06-19,
G_F_5,2021-06-23,
G_F_6,2021-06-23,
M1,2021-06-26,
M2,2021-06-26,
M3,2021-06-27,
M4,2021-06-27,
M5,2021-06-28,
M6,2021-06-28,SUI
M7,2021-06-29,
M8,2021-06-29,
M9,2021-07-02,ESP
M10,2021-07-02,
M11,2021-07-03,
M12,2021-07-03,
M13,2021-07-06,ITA
M14,2021-07-07,
M15,2021-07-11,ITA
