team_id,name,elo,elo_trend,attack,defence
ITA,Italy,1998,,1.0376,1.2996
SUI,Switzerland,1878,,0.9286,0.9404
TUR,Turkey,1794,,0.6387,0.7015
WAL,Wales,1796,,0.3273,0.9448
BEL,Belgium,2087,,1.2782,1.0566
DEN,Denmark,1871,,1.0482,1.1450
FIN,Finland,1673,,0.3316,0.4999
RUS,Russia,1769,,0.6595,0.5770
NED,Netherlands,1936,,1.0332,0.9591
AUT,Austria,1789,,0.5676,0.7236
UKR,Ukraine,1820,,0.5700,0.7477
MKD,North Macedonia,1639,,0.4163,0.4954
ENG,England,1981,,0.9984,1.2916
CRO,Croatia,1882,,0.7492,0.6667
CZE,Czechia,1810,,0.6388,0.5933
SCO,Scotland,1761,,0.3788,0.6080
SWE,Sweden,1834,,0.6126,0.8793
ESP,Spain,2046,,1.1183,1.2290
SVK,Slovakia,1714,,0.4257,0.6106
POL,Poland,1812,,0.7963,0.8065
FRA,France,2074,,1.0415,1.1693
GER,Germany,1961,,1.2032,0.7895
POR,Portugal,1972,,1.0462,1.2001
HUN,Hungary,1706,,0.4588,0.5630
