team_id,name,elo,att_elo,def_elo
GER,Germany,1957,1.4423,0.8875
SUI,Switzerland,1859,0.8478,0.7284
HUN,Hungary,1795,0.8733,1.0480
SCO,Scotland,1796,0.8627,0.8791
ESP,Spain,2042,1.2956,1.4001
ITA,Italy,1922,1.0358,1.2743
CRO,Croatia,1905,0.8982,1.2303
ALB,Albania,1693,0.3748,0.8259
ENG,England,1991,1.1760,1.4108
DEN,Denmark,1858,0.6307,1.0852
SVN,Slovenia,1746,0.6785,0.7633
SRB,Serbia,1799,1.0516,0.6045
AUT,Austria,1860,0.9635,0.9432
NED,Netherlands,1980,1.2094,1.0753
FRA,France,2076,1.5370,1.3250
POL,Poland,1808,0.7056,0.7818
ROU,Romania,1737,0.4822,0.9567
BEL,Belgium,1925,1.1900,1.3437
SVK,Slovakia,1769,0.5800,0.8040
UKR,Ukraine,1841,0.8493,1.0252
POR,Portugal,1994,1.2670,1.3201
TUR,Turkey,1801,0.8089,0.7084
GEO,Georgia,1688,0.6142,0.6595
CZE,Czechia,1808,0.7332,0.9035
