match_id,home_goals,away_goals,winner_team_id
G_A_1,5,0,
G_A_2,0,1,
G_A_3,3,1,
G_A_4,1,0,
G_A_5,3,0,
G_A_6,2,1,
G_B_1,0,1,
G_B_2,3,3,
G_B_3,1,0,
G_B_4,0,1,
G_B_5,1,1,
G_B_6,2,2,
G_C_1,2,1,
G_C_2,0,1,
G_C_3,1,1,
G_C_4,1,0,
G_C_5,0,0,
G_C_6,0,2,
G_D_1,1,1,
G_D_2,2,0,
G_D_3,0,3,
G_D_4,2,0,
G_D_5,1,2,
G_D_6,1,2,
G_E_1,0,1,
G_E_2,1,1,
G_E_3,2,0,
G_E_4,1,2,
G_E_5,0,2,
G_E_6,2,2,
G_F_1,0,1,
G_F_2,1,0,
G_F_3,1,2,
G_F_4,2,1,
G_F_5,2,0,
G_F_6,0,3,
G_G_1,3,0,
G_G_2,1,2,
G_G_3,5,2,
G_G_4,6,1,
G_G_5,0,1,
G_G_6,1,2,
G_H_1,1,2,
G_H_2,1,2,
G_H_3,2,2,
G_H_4,0,3,
G_H_5,0,1,
G_H_6,0,1,
M1,2,1,
M2,4,3,
M3,1,1,RUS
M4,1,1,CRO
M5,2,0,
M6,3,2,
M7,1,0,
M8,1,1,ENG
M9,0,2,
M10,1,2,
M11,0,2,
M12,2,2,CRO
M13,1,0,
M14,2,1,
M15,2,0,
M16,4,2,
