match_id,date,winner_team_id
G_A_1,2022-11-20,
G_A_2,2022-11-21,
G_A_3,2022-11-25,
G_A_4,2022-11-25,
G_A_5,2022-11-29,
G_A_6,2022-11-29,
G_B_1,2022-11-21,
G_B_2,2022-11-21,
G_B_3,2022-11-25,
G_B_4,2022-11-25,
G_B_5,2022-11-29,
G_B_6,2022-11-29,
G_C_1,2022-11-22,
G_C_2,2022-11-22,
G_C_3,2022-11-26,
G_C_4,2022-11-26,
G_C_5,2022-11-30,
G_C_6,2022-11-30,
G_D_1,2022-11-22,
G_D_2,2022-11-22,
G_D_3,2022-11-26,
G_D_4,2022-11-26,
G_D_5,2022-11-30,
G_D_6,2022-11-30,
G_E_1,2022-11-23,
G_E_2,2022-11-23,
G_E_3,2022-11-27,
G_E_4,2022-11-27,
G_E_5,2022-12-01,
G_E_6,2022-12-01,
G_F_1,2022-11-23,
G_F_2,2022-11-23,
G_F_3,2022-11-27,
G_F_4,2022-11-27,
G_F_5,2022-12-01,
G_F_6,2022-12-01,
G_G_1,2022-11-24,
G_G_2,2022-11-24,
G_G_3,2022-11-28,
G_G_4,2022-11-28,
G_G_5,2022-12-02,
G_G_6,2022-12-02,
G_H_1,2022-11-24,
G_H_2,2022-11-24,
G_H_3,2022-11-28,
G_H_4,2022-11-28,
G_H_5,2022-12-02,
G_H_6,2022-12-02,
M1,2022-12-03,
M2,2022-12-03,
M3,2022-12-04,
M4,2022-12-04,
M5,2022-12-05,CRO
M6,2022-12-05,
M7,2022-12-06,MAR
M8,2022-12-06,
M9,2022-12-09,CRO
M10,2022-12-09,ARG
M11,2022-12-10,
M12,2022-12-10,
M13,2022-12-13,
M14,2022-12-14,
M15,2022-12-17,
M16,2022-12-18,ARG
