team_id,name,elo,elo_trend,attack,defence
NED,Netherlands,2040,,1.1543,1.0036
SEN,Senegal,1768,,0.3747,0.7536
ECU,Ecuador,1747,,0.5982,0.9324
QAT,Qatar,1680,,0.5171,0.5454
ENG,England,1969,,0.9975,1.2750
USA,United States,1798,,0.7429,1.0716
IRN,Iran,1817,,0.6254,1.0920
WAL,Wales,1773,,0.4592,0.8997
ARG,Argentina,2118,,1.2053,1.4338
POL,Poland,1772,,0.7608,0.7473
MEX,Mexico,1813,,0.6665,0.9271
KSA,Saudi Arabia,1638,,0.2171,0.8580
FRA,France,2005,,1.0605,1.1183
AUS,Australia,1714,,0.6308,0.8174
TUN,Tunisia,1687,,0.4500,0.8057
DEN,Denmark,1930,,0.9796,1.1255
ESP,Spain,2045,,1.1235,1.2363
GER,Germany,1962,,1.1569,0.8689
JPN,Japan,1809,,0.8499,0.9730
CRC,Costa Rica,1709,,0.3089,0.8926
MAR,Morocco,1808,,0.6660,0.8950
CRO,Croatia,1898,,0.8719,0.8606
BEL,Belgium,1995,,1.1118,0.9361
CAN,Canada,1726,,0.8633,0.8186
BRA,Brazil,2169,,1.3940,1.6959
SUI,Switzerland,1879,,0.8453,0.9228
CMR,Cameroon,1679,,0.2256,0.6790
SRB,Serbia,1799,,0.9916,0.7418
POR,Portugal,1991,,1.1679,1.2653
KOR,South Korea,1746,,0.6740,0.8325
URU,Uruguay,1894,,0.8640,1.1018
GHA,Ghana,1567,,0.1338,0.6585
