match_id,stage,group,home_ref,away_ref,kickoff_utc,venue_country
G_A_1,GROUP,A,MEX,RSA,2026-06-11T19:00:00Z,MEX
G_A_2,GROUP,A,KOR,CZE,2026-06-12T02:00:00Z,MEX
G_A_3,GROUP,A,CZE,RSA,2026-06-18T16:00:00Z,USA
G_A_4,GROUP,A,MEX,KOR,2026-06-19T01:00:00Z,MEX
G_A_5,GROUP,A,RSA,KOR,2026-06-25T01:00:00Z,MEX
G_A_6,GROUP,A,CZE,MEX,2026-06-25T01:00:00Z,MEX
G_B_1,GROUP,B,CAN,BIH,2026-06-12T19:00:00Z,CAN
G_B_2,GROUP,B,QAT,SUI,2026-06-13T19:00:00Z,USA
G_B_3,GROUP,B,SUI,BIH,2026-06-18T19:00:00Z,USA
G_B_4,GROUP,B,CAN,QAT,2026-06-18T22:00:00Z,CAN
G_B_5,GROUP,B,SUI,CAN,2026-06-24T19:00:00Z,CAN
G_B_6,GROUP,B,BIH,QAT,2026-06-24T19:00:00Z,USA
G_C_1,GROUP,C,BRA,MAR,2026-06-13T22:00:00Z,USA
G_C_2,GROUP,C,HAI,SCO,2026-06-14T01:00:00Z,USA
G_C_3,GROUP,C,SCO,MAR,2026-06-19T22:00:00Z,USA
G_C_4,GROUP,C,BRA,HAI,2026-06-20T00:30:00Z,USA
G_C_5,GROUP,C,MAR,HAI,2026-06-24T22:00:00Z,USA
G_C_6,GROUP,C,SCO,BRA,2026-06-24T22:00:00Z,USA
G_D_1,GROUP,D,USA,PAR,2026-06-13T01:00:00Z,USA
G_D_2,GROUP,D,AUS,TUR,2026-06-14T04:00:00Z,CAN
G_D_3,GROUP,D,USA,AUS,2026-06-19T19:00:00Z,USA
G_D_4,GROUP,D,TUR,PAR,2026-06-20T03:00:00Z,USA
G_D_5,GROUP,D,TUR,USA,2026-06-26T02:00:00Z,USA
G_D_6,GROUP,D,PAR,AUS,2026-06-26T02:00:00Z,USA
G_E_1,GROUP,E,GER,CUW,2026-06-14T17:00:00Z,USA
G_E_2,GROUP,E,CIV,ECU,2026-06-14T23:00:00Z,USA
G_E_3,GROUP,E,GER,CIV,2026-06-20T20:00:00Z,CAN
G_E_4,GROUP,E,ECU,CUW,2026-06-21T00:00:00Z,USA
G_E_5,GROUP,E,CUW,CIV,2026-06-25T20:00:00Z,USA
G_E_6,GROUP,E,ECU,GER,2026-06-25T20:00:00Z,USA
G_F_1,GROUP,F,NED,JPN,2026-06-14T20:00:00Z,USA
G_F_2,GROUP,F,SWE,TUN,2026-06-15T02:00:00Z,MEX
G_F_3,GROUP,F,TUN,JPN,2026-06-21T04:00:00Z,MEX
G_F_4,GROUP,F,TUN,NED,2026-06-25T23:00:00Z,USA
G_F_5,GROUP,F,JPN,SWE,2026-06-25T23:00:00Z,USA
G_F_6,GROUP,F,NED,SWE,2026-06-20T17:00:00Z,USA
G_G_1,GROUP,G,BEL,EGY,2026-06-15T19:00:00Z,USA
G_G_2,GROUP,G,IRN,NZL,2026-06-16T01:00:00Z,USA
G_G_3,GROUP,G,BEL,IRN,2026-06-21T19:00:00Z,USA
G_G_4,GROUP,G,NZL,EGY,2026-06-22T01:00:00Z,CAN
G_G_5,GROUP,G,NZL,BEL,2026-06-27T03:00:00Z,CAN
G_G_6,GROUP,G,EGY,IRN,2026-06-27T03:00:00Z,USA
G_H_1,GROUP,H,ESP,CPV,2026-06-15T16:00:00Z,USA
G_H_2,GROUP,H,SAU,URU,2026-06-15T22:00:00Z,USA
G_H_3,GROUP,H,ESP,SAU,2026-06-21T16:00:00Z,USA
G_H_4,GROUP,H,URU,CPV,2026-06-21T22:00:00Z,USA
G_H_5,GROUP,H,CPV,SAU,2026-06-27T00:00:00Z,USA
G_H_6,GROUP,H,URU,ESP,2026-06-27T00:00:00Z,MEX
G_I_1,GROUP,I,FRA,SEN,2026-06-16T19:00:00Z,USA
G_I_2,GROUP,I,IRQ,NOR,2026-06-16T22:00:00Z,USA
G_I_3,GROUP,I,FRA,IRQ,2026-06-22T21:00:00Z,USA
G_I_4,GROUP,I,NOR,SEN,2026-06-23T00:00:00Z,CAN
G_I_5,GROUP,I,NOR,FRA,2026-06-26T19:00:00Z,USA
G_I_6,GROUP,I,SEN,IRQ,2026-06-26T19:00:00Z,CAN
G_J_1,GROUP,J,ARG,ALG,2026-06-17T01:00:00Z,USA
G_J_2,GROUP,J,AUT,JOR,2026-06-17T04:00:00Z,USA
G_J_3,GROUP,J,ARG,AUT,2026-06-22T17:00:00Z,USA
G_J_4,GROUP,J,JOR,ALG,2026-06-23T03:00:00Z,USA
G_J_5,GROUP,J,JOR,ARG,2026-06-26T02:00:00Z,USA
G_J_6,GROUP,J,ALG,AUT,2026-06-26T02:00:00Z,USA
G_K_1,GROUP,K,POR,COD,2026-06-17T17:00:00Z,USA
G_K_2,GROUP,K,UZB,COL,2026-06-18T02:00:00Z,MEX
