match_id,odds_home,odds_draw,odds_away
G_B_5,2.45,3.10,3.20
G_B_6,1.42,5.00,7.00
G_C_3,5.50,3.60,1.71
G_C_5,1.28,6.00,11.00
G_C_6,6.50,5.00,1.44
G_D_3,1.62,4.20,5.25
G_E_3,1.54,4.60,5.75
G_E_5,19.00,9.00,1.14
G_E_6,5.00,4.00,1.69
G_F_3,7.00,4.10,1.53
G_F_4,9.50,5.50,1.32
G_F_5,2.15,3.50,3.40
G_F_6,1.77,3.90,4.50
G_G_3,1.44,4.60,7.50
G_H_3,1.10,10.50,26.00
G_H_4,1.47,4.20,8.00
G_I_3,1.08,12.00,29.00
G_I_5,4.30,3.90,1.80
G_I_6,1.30,5.50,11.00
G_J_3,1.62,3.90,6.00
G_K_3,1.20,7.00,15.00
G_K_5,3.45,3.45,2.15
G_K_6,2.10,3.65,3.40
G_L_3,1.22,6.50,14.00
G_L_4,6.50,4.10,1.54
G_L_5,10.00,7.00,1.26
G_L_6,1.59,4.10,6.00
