match_id,stage,group,home_ref,away_ref,kickoff_utc,venue_country
G_A_1,GROUP,A,ISL,FIN,2025-07-02T16:00:00Z,SUI
G_A_2,GROUP,A,SUI,NOR,2025-07-02T19:00:00Z,SUI
G_A_3,GROUP,A,NOR,FIN,2025-07-06T16:00:00Z,SUI
G_A_4,GROUP,A,SUI,ISL,2025-07-06T19:00:00Z,SUI
G_A_5,GROUP,A,FIN,SUI,2025-07-10T19:00:00Z,SUI
G_A_6,GROUP,A,NOR,ISL,2025-07-10T16:00:00Z,SUI
G_B_1,GROUP,B,BEL,ITA,2025-07-03T16:00:00Z,SUI
G_B_2,GROUP,B,ESP,POR,2025-07-03T19:00:00Z,SUI
G_B_3,GROUP,B,ESP,BEL,2025-07-07T19:00:00Z,SUI
G_B_4,GROUP,B,POR,ITA,2025-07-07T16:00:00Z,SUI
G_B_5,GROUP,B,ITA,ESP,2025-07-11T19:00:00Z,SUI
G_B_6,GROUP,B,POR,BEL,2025-07-11T16:00:00Z,SUI
G_C_1,GROUP,C,DEN,SWE,2025-07-04T16:00:00Z,SUI
G_C_2,GROUP,C,GER,POL,2025-07-04T19:00:00Z,SUI
G_C_3,GROUP,C,GER,DEN,2025-07-08T19:00:00Z,SUI
G_C_4,GROUP,C,POL,SWE,2025-07-08T16:00:00Z,SUI
G_C_5,GROUP,C,SWE,GER,2025-07-12T19:00:00Z,SUI
G_C_6,GROUP,C,POL,DEN,2025-07-12T16:00:00Z,SUI
G_D_1,GROUP,D,FRA,ENG,2025-07-05T19:00:00Z,SUI
G_D_2,GROUP,D,WAL,NED,2025-07-05T16:00:00Z,SUI
G_D_3,GROUP,D,ENG,NED,2025-07-09T19:00:00Z,SUI
G_D_4,GROUP,D,FRA,WAL,2025-07-09T16:00:00Z,SUI
G_D_5,GROUP,D,ENG,WAL,2025-07-13T19:00:00Z,SUI
G_D_6,GROUP,D,NED,FRA,2025-07-13T16:00:00Z,SUI
M1,QF,,NOR,ITA,2025-07-16T19:00:00Z,SUI
M2,QF,,SWE,ENG,2025-07-17T19:00:00Z,SUI
M3,QF,,ESP,SUI,2025-07-18T19:00:00Z,SUI
M4,QF,,FRA,GER,2025-07-19T19:00:00Z,SUI
M5,SF,,ITA,ENG,2025-07-22T19:00:00Z,SUI
M6,SF,,ESP,GER,2025-07-23T19:00:00Z,SUI
M7,FINAL,,ENG,ESP,2025-07-27T16:00:00Z,SUI
