match_id,odds_home,odds_draw,odds_away
G_A_1,2.30,3.10,3.30
G_A_2,3.30,3.20,2.25
G_A_3,1.71,3.60,5.25
G_A_4,2.20,3.25,3.35
G_A_5,4.33,3.30,1.91
G_A_6,2.45,3.30,2.85
G_B_1,5.25,4.10,1.59
G_B_2,1.08,9.50,16.00
G_B_3,1.04,14.00,24.00
G_B_4,5.50,3.60,1.67
G_B_5,9.00,6.00,1.24
G_B_6,1.87,3.70,3.90
G_C_1,5.25,3.80,1.67
G_C_2,1.10,9.00,15.00
G_C_3,1.42,4.80,7.00
G_C_4,10.50,6.50,1.18
G_C_5,2.80,3.40,2.40
G_C_6,6.50,5.00,1.44
G_D_1,3.00,3.20,2.40
G_D_2,10.50,5.75,1.22
G_D_3,1.95,3.40,3.90
G_D_4,1.08,9.00,21.00
G_D_5,1.06,11.00,23.00
G_D_6,4.33,3.80,1.77
M1,2.75,3.20,2.55
M2,3.20,3.10,2.30
M3,1.07,10.50,20.00
M4,2.25,3.35,3.10
M5,5.50,3.90,1.59
M6,1.50,4.40,5.75
M7,4.40,3.70,1.77
