team_id,name,elo,att_elo,def_elo
ESP,Spain,2040,1.7226,1.1697
GER,Germany,2030,1.3748,1.0259
ENG,England,2025,1.1010,1.4439
FRA,France,2015,1.3066,1.3103
SWE,Sweden,2010,1.1040,0.7482
NED,Netherlands,1970,1.5098,1.0947
NOR,Norway,1920,1.1957,0.9151
DEN,Denmark,1900,0.7469,1.1321
ITA,Italy,1875,0.9731,1.0208
ISL,Iceland,1800,0.7507,0.2423
BEL,Belgium,1790,1.0261,1.0519
POR,Portugal,1770,1.3356,1.3197
SUI,Switzerland,1765,1.0328,0.7879
FIN,Finland,1750,0.4731,0.5385
POL,Poland,1705,0.7311,0.5075
WAL,Wales,1695,0.7258,0.8525
